UniprotID,No. Partners
AK1C2_HUMAN,9
AK1C3_HUMAN,6
AK1C4_HUMAN,1
AK1D1_HUMAN,5
AK40L_HUMAN,0
AKA10_HUMAN,5
AKA11_HUMAN,7
AKA12_HUMAN,20
AKA28_HUMAN,13
AKA7A_HUMAN,7
AKA7G_HUMAN,7
AKAI1_HUMAN,0
AKAP1_HUMAN,17
AKAP2_HUMAN,9
AKAP3_HUMAN,5
AKAP4_HUMAN,5
AKAP5_HUMAN,35
AKAP6_HUMAN,1
AKAP8_HUMAN,24
AKAP9_HUMAN,50
AKCL1_HUMAN,0
AKCL2_HUMAN,0
AKD1A_HUMAN,1
AKD1B_HUMAN,0
AKIB1_HUMAN,1
AKIP_HUMAN,290
AKIP1_HUMAN,5
AKIR1_HUMAN,0
AKIR2_HUMAN,17
AKNA_HUMAN,1
AKND1_HUMAN,3
AKP13_HUMAN,15
AKP8L_HUMAN,54
AKT1_HUMAN,306
AKT2_HUMAN,60
AKT3_HUMAN,40
AKTIP_HUMAN,78
AKTS1_HUMAN,7
AL14E_HUMAN,2
AL1A1_HUMAN,4
AL1A2_HUMAN,0
AL1A3_HUMAN,1
AL1B1_HUMAN,29
AL1L1_HUMAN,16
AL1L2_HUMAN,8
AL2CL_HUMAN,1
AL3A1_HUMAN,12
AL3A2_HUMAN,29
AL3B1_HUMAN,41
AL3B2_HUMAN,5
AL4A1_HUMAN,26
AL5AP_HUMAN,6
AL7A1_HUMAN,31
AL8A1_HUMAN,9
AL9A1_HUMAN,9
ALAT1_HUMAN,1
ALAT2_HUMAN,8
ALBU_HUMAN,141
ALDH2_HUMAN,58
ALDOA_HUMAN,48
ALDOB_HUMAN,4
ALDOC_HUMAN,40
ALDR_HUMAN,6
ALEX_HUMAN,37
ALG1_HUMAN,1
ALG11_HUMAN,0
ALG12_HUMAN,4
ALG13_HUMAN,2
ALG14_HUMAN,0
ALG1L_HUMAN,0
ALG2_HUMAN,13
ALG3_HUMAN,5
ALG5_HUMAN,3
ALG6_HUMAN,0
ALG8_HUMAN,5
ALG9_HUMAN,3
ALK_HUMAN,64
ALKB1_HUMAN,1
ALKB2_HUMAN,5
ALKB3_HUMAN,44
ALKB4_HUMAN,14
ALKB5_HUMAN,0
ALKB6_HUMAN,0
ALKB7_HUMAN,2
ALKB8_HUMAN,1
ALKL1_HUMAN,0
ALKL2_HUMAN,0
ALKMO_HUMAN,0
ALLC_HUMAN,0
ALMS1_HUMAN,0
ALPK1_HUMAN,2
ALPK2_HUMAN,0
ALPK3_HUMAN,15
ALR_HUMAN,23
ALS_HUMAN,2
ALS2_HUMAN,3
ALX1_HUMAN,4
ALX3_HUMAN,16
ALX4_HUMAN,3
AMACR_HUMAN,4
AMBN_HUMAN,3
AMBP_HUMAN,11
AMD_HUMAN,5
AMELX_HUMAN,0
AMELY_HUMAN,1
AMER1_HUMAN,6
AMER2_HUMAN,0
AMER3_HUMAN,0
AMERL_HUMAN,3
AMFR_HUMAN,95
AMGO1_HUMAN,7
AMGO2_HUMAN,3
AMGO3_HUMAN,13
AMHR2_HUMAN,13
AMMR1_HUMAN,23
AMN1_HUMAN,0
AMNLS_HUMAN,0
AMOL1_HUMAN,8
AMOL2_HUMAN,64
AMOT_HUMAN,90
AMPB_HUMAN,0
AMPD1_HUMAN,2
AMPD2_HUMAN,10
AMPD3_HUMAN,1
AMPE_HUMAN,2
AMPH_HUMAN,29
AMPL_HUMAN,51
AMPN_HUMAN,1
AMPO_HUMAN,6
AMPQ_HUMAN,0
AMRA1_HUMAN,159
AMRP_HUMAN,17
AMTN_HUMAN,10
AMY1_HUMAN,1
AMY2B_HUMAN,0
AMYP_HUMAN,2
AMZ1_HUMAN,12
AMZ2_HUMAN,0
AN13A_HUMAN,6
AN13B_HUMAN,3
AN13C_HUMAN,2
AN13D_HUMAN,3
AN18A_HUMAN,2
AN18B_HUMAN,0
AN20B_HUMAN,0
AN30A_HUMAN,0
AN30B_HUMAN,0
AN32A_HUMAN,26
AN32B_HUMAN,26
AN32C_HUMAN,0
AN32D_HUMAN,0
AN32E_HUMAN,8
